WSS3510862	Influenza B virus (IBV), Egg-based Vaccines, strain B/Austria/1359417/2021, segment 7 (MP)
WSS3510863	Influenza B virus (IBV), Egg-based Vaccines, strain B/Austria/1359417/2021, segment 8 (NS)
WSS3510864	Influenza B virus (IBV), Egg-based Vaccines, strain B/PHUKET/3073/2013, segment 4 (HA)
WSS3510865	Influenza B virus (IBV), Egg-based Vaccines, strain B/PHUKET/3073/2013, segment 6 (NA)
WSS3510866	Influenza A virus (IAV), Cell- or recombinant-based Vaccines, strain A/Wisconsin/588/2019(H1N1), segment 1 (PB2)
WSS3510867	Influenza A virus (IAV), Cell- or recombinant-based Vaccines, strain A/Wisconsin/588/2019(H1N1), segment 2 (PB1)
WSS3510868	Influenza A virus (IAV), Cell- or recombinant-based Vaccines, strain A/Wisconsin/588/2019(H1N1), segment 3 (PA)
WSS3510869	Influenza A virus (IAV), Cell- or recombinant-based Vaccines, strain A/Wisconsin/588/2019(H1N1), segment 4 (HA)
WSS3510870	Influenza A virus (IAV), Cell- or recombinant-based Vaccines, strain A/Wisconsin/588/2019(H1N1), segment 5 (NP)
WSS3510871	Influenza A virus (IAV), Cell- or recombinant-based Vaccines, strain A/Wisconsin/588/2019(H1N1), segment 6 (NA)
WSS3510872	Influenza A virus (IAV), Cell- or recombinant-based Vaccines, strain A/Wisconsin/588/2019(H1N1), segment 7 (MP)
WSS3510873	Influenza A virus (IAV), Cell- or recombinant-based Vaccines, strain A/Wisconsin/588/2019(H1N1), segment 8 (NS)
WSS3510874	Influenza A virus (IAV), Cell- or recombinant-based Vaccines, strain A/Darwin/6/2021(H3N2), segment 1 (PB2)
WSS3510875	Influenza A virus (IAV), Cell- or recombinant-based Vaccines, strain A/Darwin/6/2021(H3N2), segment 2 (PB1)
WSS3510876	Influenza A virus (IAV), Cell- or recombinant-based Vaccines, strain A/Darwin/6/2021(H3N2), segment 3 (PA)
WSS3510877	Influenza A virus (IAV), Cell- or recombinant-based Vaccines, strain A/Darwin/6/2021(H3N2), segment 4 (HA)
WSS3510878	Influenza A virus (IAV), Cell- or recombinant-based Vaccines, strain A/Darwin/6/2021(H3N2), segment 5 (NP)
WSS3510879	Influenza A virus (IAV), Cell- or recombinant-based Vaccines, strain A/Darwin/6/2021(H3N2), segment 6 (NA)
WSS3510880	Influenza A virus (IAV), Cell- or recombinant-based Vaccines, strain A/Darwin/6/2021(H3N2), segment 7 (MP)
WSS3510881	Influenza A virus (IAV), Cell- or recombinant-based Vaccines, strain A/Darwin/6/2021(H3N2), segment 8 (NS)
WSS3510882	Influenza B virus (IBV), Cell- or recombinant-based Vaccines, strain B/Austria/1359417/2021, segment 3 (PA)
WSS3510883	Influenza B virus (IBV), Cell- or recombinant-based Vaccines, strain B/Austria/1359417/2021, segment 4 (HA)
WSS3510884	Influenza B virus (IBV), Cell- or recombinant-based Vaccines, strain B/Austria/1359417/2021, segment 5 (NP)
WSS3510885	Influenza B virus (IBV), Cell- or recombinant-based Vaccines, strain B/Austria/1359417/2021, segment 6 (NA)
WSS3510886	Influenza B virus (IBV), Cell- or recombinant-based Vaccines, strain B/Austria/1359417/2021, segment 7 (MP)
WSS3510887	Influenza B virus (IBV), Cell- or recombinant-based Vaccines, strain B/Austria/1359417/2021, segment 8 (NS)
WSS3510888	Influenza B virus (IBV), Cell- or recombinant-based Vaccines, strain B/PHUKET/3073/2013, segment 1 (PB2)
WSS3510889	Influenza B virus (IBV), Cell- or recombinant-based Vaccines, strain B/PHUKET/3073/2013, segment 2 (PB1)
WSS3510890	Influenza B virus (IBV), Cell- or recombinant-based Vaccines, strain B/PHUKET/3073/2013, segment 3 (PA)
WSS3510891	Influenza B virus (IBV), Cell- or recombinant-based Vaccines, strain B/PHUKET/3073/2013, segment 4 (HA)
WSS3510892	Influenza B virus (IBV), Cell- or recombinant-based Vaccines, strain B/PHUKET/3073/2013, segment 5 (NP)
WSS3510893	Influenza B virus (IBV), Cell- or recombinant-based Vaccines, strain B/PHUKET/3073/2013, segment 6 (NA)
WSS3510894	Influenza B virus (IBV), Cell- or recombinant-based Vaccines, strain B/PHUKET/3073/2013, segment 7 (MP)
WSS3510895	Influenza B virus (IBV), Cell- or recombinant-based Vaccines, strain B/PHUKET/3073/2013, segment 8 (NS)
